timestamp,futures_open,futures_high,futures_low,futures_close,futures_volume,futures_oi,contract_month,days_to_expiry
2025-01-16 09:15:00,22053.762906028103,22093.547528644383,22026.168548828202,22065.1613420618,2699364,10573348,Jan2025,13
2025-01-16 09:20:00,22052.330018708693,22069.522836196233,22014.211053321582,22049.697352846815,1566393,7289526,Jan2025,13
2025-01-16 09:25:00,22055.5294312073,22091.50109845906,21976.6448560143,22070.38854746013,848898,5025489,Jan2025,13
2025-01-16 09:30:00,22068.666166682397,22104.51999963079,22000.77331484993,22103.034600230265,938202,7510715,Jan2025,13
2025-01-16 09:35:00,22118.397783834076,22135.365314594917,22101.424688232855,22113.618008751404,2482505,6403824,Jan2025,13
2025-01-16 09:40:00,22099.602343619885,22104.88099307455,22058.468213541782,22094.830324993036,4220563,9826489,Jan2025,13
2025-01-16 09:45:00,22104.87553289721,22168.66455664098,22039.01963893234,22140.532506689196,626299,8124579,Jan2025,13
2025-01-16 09:50:00,22157.228057198143,22217.56482275977,22106.927506053747,22174.833959385833,1154709,5456532,Jan2025,13
2025-01-16 09:55:00,22166.5753346699,22272.26236551557,22154.34655383022,22156.528507480303,1570929,8511033,Jan2025,13
2025-01-16 10:00:00,22137.7278514449,22158.31063644058,22122.234754785048,22150.287378731988,671924,7591641,Jan2025,13
2025-01-16 10:05:00,22151.312748315973,22218.595112839597,22094.522088713045,22141.41458609905,3046930,12712456,Jan2025,13
2025-01-16 10:10:00,22150.27163880895,22182.600060997724,22074.965921792143,22140.325780154897,3192335,10875074,Jan2025,13
2025-01-16 10:15:00,22116.872584486195,22132.78446927193,22104.586200376103,22122.70938396768,2177271,6219790,Jan2025,13
2025-01-16 10:20:00,22131.618029234218,22164.04559307466,22069.891033322187,22089.470843345352,1488250,9292824,Jan2025,13
2025-01-16 10:25:00,22104.408276943122,22148.423751949253,22020.59649869093,22066.451348401257,1290612,5743679,Jan2025,13
2025-01-16 10:30:00,22059.658773366064,22064.919739464236,22020.48944355384,22047.592173108336,1402049,10735399,Jan2025,13
2025-01-16 10:35:00,22070.2440936912,22139.692883468124,21977.793668864844,22048.15437979831,1276963,9671338,Jan2025,13
2025-01-16 10:40:00,22020.095635090325,22070.743317531702,21978.727442577223,22027.521476007576,864908,4983725,Jan2025,13
2025-01-16 10:45:00,22022.812666466634,22055.815981550964,21944.843688072124,22003.10402847208,1378513,8475284,Jan2025,13
2025-01-16 10:50:00,22004.830614419043,22042.066367689957,21937.843997066302,21973.960911128463,1364447,11537105,Jan2025,13
2025-01-16 10:55:00,21983.87085113436,22082.108523520914,21897.528570311828,22016.84538152299,702873,8643354,Jan2025,13
2025-01-16 11:00:00,22014.924795958337,22056.17416303572,21984.685816077315,22010.352189842677,840059,10106835,Jan2025,13
2025-01-16 11:05:00,22036.608974730436,22043.10421165856,22017.481185119883,22038.554737277304,1297991,8062156,Jan2025,13
2025-01-16 11:10:00,22009.67887026463,22040.98514344945,21955.825013770947,21978.53702287435,394635,7751069,Jan2025,13
2025-01-16 11:15:00,21983.51079652711,22152.974484603328,21927.183770324722,21971.88727861602,1954667,8206114,Jan2025,13
2025-01-16 11:20:00,21980.98142416684,22031.116544251527,21913.957922929014,21983.883146974727,1126347,7169927,Jan2025,13
2025-01-16 11:25:00,21973.007342427158,22046.932262193277,21933.067179073274,21947.98260865348,1152220,13778652,Jan2025,13
2025-01-16 11:30:00,21955.24838412189,21989.890350978174,21923.04197963449,21964.00672295696,1968767,6647510,Jan2025,13
2025-01-16 11:35:00,21962.24647528859,21963.616758438522,21891.941355269882,21949.401937353785,2318478,5091919,Jan2025,13
2025-01-16 11:40:00,21954.243864439304,22047.189060492987,21910.353778436936,21948.235882903446,2294956,7558902,Jan2025,13
2025-01-16 11:45:00,21923.665243199932,21967.353570516854,21895.87850396238,21910.827756765957,2001674,5649961,Jan2025,13
2025-01-16 11:50:00,21935.062923500936,21998.62869933559,21899.694398460924,21976.449864147802,1059510,6371228,Jan2025,13
2025-01-16 11:55:00,21966.081732168146,21997.069090366884,21953.855330542025,21966.225717010115,1115262,18045128,Jan2025,13
2025-01-16 12:00:00,21969.792295140167,22035.752547701322,21903.60276522532,21946.841534878124,1023659,14016049,Jan2025,13
2025-01-16 12:05:00,21940.559713845596,22024.010744658437,21937.17177243531,21959.192868517795,1555919,10202050,Jan2025,13
2025-01-16 12:10:00,21981.606348756955,21989.987896090006,21934.29251496257,21955.02448360699,1898594,4831364,Jan2025,13
2025-01-16 12:15:00,21914.468062850625,21925.272788632188,21886.459786833693,21919.524592194706,1814020,6539670,Jan2025,13
2025-01-16 12:40:00,21907.021370721264,21917.339469298407,21892.357499243302,21911.249208992584,1306274,7919620,Jan2025,13
2025-01-16 12:45:00,21888.54830728524,21906.831424150445,21857.25114305797,21886.43861755151,3720626,7358543,Jan2025,13
2025-01-16 12:50:00,21910.553520482204,21914.643728546383,21829.81413121389,21904.351802583766,1852001,6202920,Jan2025,13
2025-01-16 14:50:00,21869.347128138685,21915.793650235093,21847.68846755791,21891.907224741342,1517889,8699709,Jan2025,13
2025-01-16 14:55:00,21889.656453706546,21980.04970872231,21872.066836937887,21898.075811241753,1653483,13058777,Jan2025,13
2025-01-16 15:05:00,21882.252914292076,21914.728976169612,21869.681594156762,21890.660141858403,2695652,7704373,Jan2025,13
2025-01-16 15:10:00,21906.358464769946,21947.88543530336,21869.262571132735,21940.749617941394,2043152,6737657,Jan2025,13
2025-01-16 15:15:00,21909.468514773784,21921.301613061874,21886.8904861258,21909.119100616033,2259584,9460150,Jan2025,13
2025-01-16 15:20:00,21909.268724291338,22005.640348101082,21880.421462257556,21944.256792879172,427191,9182334,Jan2025,13
2025-01-16 15:25:00,21943.439656330258,21954.42007608828,21866.666160664452,21886.018988613043,1358619,5229836,Jan2025,13
2025-01-17 09:15:00,21899.396264665284,21981.8864958211,21855.262606294713,21918.02012293992,897516,11959221,Jan2025,12
